week,week_start,week_end,start_equity,end_equity,weekly_return,weekly_return_pct,trades,realized_pnl,volatility_annualized,max_drawdown,max_drawdown_pct
2024-07-01/2024-07-07,2024-07-01,2024-07-07,104005.38698385289,104214.44670675328,0.0020100855250204663,0.20100855250204663,0,0.0,0.015468351297141806,0.0003146382459091025,0.03146382459091025
2024-07-08/2024-07-14,2024-07-08,2024-07-14,104186.28661153844,104105.20525674874,-0.0007782344243826289,-0.07782344243826289,0,0.0,0.022838199335044898,0.0033739709745931904,0.33739709745931906
2024-07-15/2024-07-21,2024-07-15,2024-07-21,104058.88543252999,103863.45829021384,-0.0018780437778460612,-0.18780437778460612,3,251.9449350746628,0.006864197679302802,0.0018780437778460255,0.18780437778460254
2024-07-22/2024-07-28,2024-07-22,2024-07-28,103878.1581193154,103789.05884515154,-0.0008577286676716422,-0.08577286676716422,1,333.1554701593725,0.004956639722840876,0.0008577286676716173,0.08577286676716173
2024-07-29/2024-08-04,2024-07-29,2024-08-04,103789.05884515154,103789.05884515154,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-05/2024-08-11,2024-08-05,2024-08-11,103789.05884515154,103789.05884515154,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-12/2024-08-18,2024-08-12,2024-08-18,103789.05884515154,104110.1256811627,0.0030934555104713546,0.30934555104713546,0,0.0,0.017183899736079235,0.0,0.0
2024-08-19/2024-08-25,2024-08-19,2024-08-25,103950.6256811627,103904.80562806211,-0.0004407866984958986,-0.04407866984958986,0,0.0,0.028055072634640913,0.002654026420505473,0.2654026420505473
2024-08-26/2024-09-01,2024-08-26,2024-09-01,104011.52585816465,102215.78718874515,-0.01726480459356261,-1.726480459356261,0,0.0,0.06506981215053227,0.01726480459356265,1.7264804593562648
2024-09-02/2024-09-08,2024-09-02,2024-09-08,102215.78718874515,102133.41943854558,-0.0008058221969907686,-0.08058221969907686,2,-1655.6394066059665,0.0044762783209015816,0.0008058221969907137,0.08058221969907137
2024-09-09/2024-09-15,2024-09-09,2024-09-15,102133.41943854558,102133.41943854558,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-16/2024-09-22,2024-09-16,2024-09-22,102133.41943854558,102133.41943854558,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-23/2024-09-29,2024-09-23,2024-09-29,102133.41943854558,102133.41943854558,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-30/2024-10-06,2024-09-30,2024-10-06,102133.41943854558,102133.41943854558,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-10-07/2024-10-13,2024-10-07,2024-10-13,102133.41943854558,102133.41943854558,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-10-14/2024-10-20,2024-10-14,2024-10-20,101595.31682685518,102612.55687812471,0.010012666755133681,1.0012666755133681,0,0.0,0.04648166851871369,0.0,0.0
2024-10-21/2024-10-27,2024-10-21,2024-10-27,102675.82599033625,102319.54638828547,-0.0034699462956773175,-0.34699462956773175,0,0.0,0.03237682255323328,0.005283815702175349,0.5283815702175348
