date,open,high,low,close,volume
2024-07-12,5.902,6.1168,5.803,6.104,1154719.3808536706
2024-07-13,6.106,6.3193,6.076,6.235,698975.8162982832
2024-07-14,6.235,6.3681,6.161,6.318,1437539.3313415968
2024-07-15,6.32,6.5532,6.297,6.488,1794708.3053311468
2024-07-16,6.489,6.5199,6.13,6.338,1570775.6982430206
2024-07-17,6.3392,6.5409,6.247,6.257,1174139.4004253424
2024-07-18,6.255,6.4115,6.02,6.092,1501443.4525931508
2024-07-19,6.0981,6.3573,5.982,6.341,1162429.4374526127
2024-07-20,6.344,6.4039,6.225,6.335,459685.92220144597
2024-07-21,6.334,6.4567,6.102,6.431,720738.675355952
2024-07-22,6.4266,6.4839,6.084,6.101,1131264.1191693721
2024-07-23,6.1026,6.1782,5.806,5.918,1352285.260208078
2024-07-24,5.9147,6.0072,5.657,5.749,1058212.3063308347
2024-07-25,5.746,5.7806,5.54,5.756,1426036.001866881
2024-07-26,5.754,5.89,5.724,5.868,1101411.3042355806
2024-07-27,5.868,5.9517,5.716,5.826,711359.0641377573
2024-07-28,5.824,5.8478,5.672,5.721,457784.0403716035
2024-07-29,5.7188,5.882,5.622,5.651,926992.1508604023
2024-07-30,5.649,5.735,5.481,5.516,1168108.2281777756
2024-07-31,5.5148,5.5649,5.333,5.386,2610889.4953858075
2024-08-01,5.388,5.421,5.024,5.336,2237742.839726021
2024-08-02,5.335,5.3747,4.995,5.117,1793420.4918558106
2024-08-03,5.116,5.2115,4.855,5.0414,1426709.6237805677
2024-08-04,5.038,5.0981,4.533,4.689,1762800.52981743
2024-08-05,4.686,4.724,3.6,4.204,7560261.657917821
2024-08-06,4.205,4.6128,4.197,4.515,3164711.319046657
2024-08-07,4.5089,4.645,4.4056,4.582,2008720.4501495203
2024-08-08,4.579,4.9084,4.483,4.881,1670081.9748618214
2024-08-09,4.879,4.926,4.7323,4.785,1136503.800001198
2024-08-10,4.783,4.8389,4.724,4.755,448977.61771649384
2024-08-11,4.7538,4.8292,4.468,4.494,608083.6930323207
2024-08-12,4.498,4.6819,4.451,4.587,953191.407873868
2024-08-13,4.588,4.6195,4.399,4.548,909548.7186824876
2024-08-14,4.5476,4.563,4.349,4.385,1045185.0043128227
2024-08-15,4.383,4.4811,4.2297,4.278,1118430.58222733
2024-08-16,4.278,4.3954,4.213,4.294,915969.8014251997
2024-08-17,4.29,4.394,4.276,4.371,417228.72798778093
2024-08-18,4.3658,4.5369,4.345,4.388,808073.2656485647
2024-08-19,4.389,4.5095,4.3454,4.483,824880.5981238108
2024-08-20,4.4816,4.6089,4.455,4.522,881977.0267969955
2024-08-21,4.5233,4.755,4.4983,4.664,1037154.0298341895
2024-08-22,4.668,4.7171,4.594,4.6926,1117211.8087809912
2024-08-23,4.6976,4.9603,4.684,4.894,1388888.9006010473
